classifier,period_length,sampling_rate,accuracy,f1_score,best_params_
AdaBoostClassifier,0,0,0.941,0.942,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 0.1, 'n_estimators': 20}"
AdaBoostClassifier,1000,1000,0.922,0.923,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,1300,1000,0.951,0.952,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 155}"
AdaBoostClassifier,1500,1000,0.949,0.950,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,1800,1000,0.949,0.950,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,2000,1000,0.936,0.937,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 155}"
AdaBoostClassifier,2200,1000,0.943,0.945,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,2500,1000,0.937,0.938,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,1000,2000,0.915,0.915,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,1300,2000,0.951,0.952,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 155}"
AdaBoostClassifier,1500,2000,0.947,0.948,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,1800,2000,0.950,0.951,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 155}"
AdaBoostClassifier,2000,2000,0.946,0.947,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,2200,2000,0.940,0.941,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,2500,2000,0.953,0.954,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,1000,5000,0.905,0.906,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,1300,5000,0.957,0.957,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,1500,5000,0.920,0.921,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,1800,5000,0.951,0.952,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,2000,5000,0.946,0.947,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 155}"
AdaBoostClassifier,2200,5000,0.936,0.937,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,2500,5000,0.950,0.951,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,1000,10000,0.933,0.934,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,1300,10000,0.961,0.961,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,1500,10000,0.962,0.963,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,1800,10000,0.951,0.952,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,2000,10000,0.943,0.945,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,2200,10000,0.930,0.932,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,2500,10000,0.933,0.934,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 155}"
AdaBoostClassifier,1000,20000,0.916,0.916,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 155}"
AdaBoostClassifier,1300,20000,0.941,0.942,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,1500,20000,0.938,0.939,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,1800,20000,0.943,0.944,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 155}"
AdaBoostClassifier,2000,20000,0.940,0.941,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
AdaBoostClassifier,2200,20000,0.933,0.934,"{'estimator': DecisionTreeClassifier(max_depth=3), 'learning_rate': 1, 'n_estimators': 200}"
